CODE;D_CODE;VARTYPE;VARVAL
A000;;COMPL;06C26
A000;;DGCAT;06M08
A000;;MDC;6
A000;;DGPROP;06X99
A000;;DGPROP;15X98
A001;;COMPL;06C26
A001;;DGCAT;06M08
A001;;MDC;6
A001;;DGPROP;06X99
A001;;DGPROP;15X98
A009;;COMPL;06C26
A009;;DGCAT;06M08
A009;;MDC;6
A009;;DGPROP;06X99
A009;;DGPROP;15X98
A010;;COMPL;06C26
A010;;DGCAT;18M99
A010;;MDC;18
A010;;DGPROP;18X99
A010;;DGPROP;15X98
A011;;COMPL;06C26
A011;;DGCAT;18M99
A011;;MDC;18
A011;;DGPROP;18X99
A011;;DGPROP;15X98
A012;;COMPL;06C26
A012;;DGCAT;18M99
A012;;MDC;18
A012;;DGPROP;18X99
A012;;DGPROP;15X98
A013;;COMPL;06C26
A013;;DGCAT;18M99
A013;;MDC;18
A013;;DGPROP;18X99
A013;;DGPROP;15X98
A014;;COMPL;06C26
A014;;DGCAT;18M99
A014;;MDC;18
A014;;DGPROP;18X99
A014;;DGPROP;15X98
A020;;COMPL;06C26
A020;;DGCAT;06M08
A020;;MDC;6
A020;;DGPROP;06X99
A020;;DGPROP;15X98
A021;;DGCAT;18M01
A021;;MDC;18
A021;;DGPROP;18X99
A021;;DGPROP;15X98
A021;;DGPROP;18X02
A021;;PDGPRO;18P01
A021;;COMPL;18G20
A022;;DGCAT;18M99
A022;;MDC;18
A022;;DGPROP;18X99
A022;;DGPROP;15X98
A022;;COMPL;18G20
A028;;COMPL;06C26
A028;;DGCAT;18M99
A028;;MDC;18
A028;;DGPROP;18X99
A028;;DGPROP;15X98
A028;;DGPROP;18X02
A029;;COMPL;06C26
A029;;DGCAT;18M99
A029;;MDC;18
A029;;DGPROP;18X99
A029;;DGPROP;15X98
A029;;DGPROP;18X02
A030;;COMPL;06C26
A030;;DGCAT;06M08
A030;;MDC;6
A030;;DGPROP;06X99
A030;;DGPROP;15X98
A031;;DGCAT;06M08
A031;;MDC;6
A031;;DGPROP;06X99
A031;;DGPROP;15X98
A032;;DGCAT;06M08
A032;;MDC;6
A032;;DGPROP;06X99
A032;;DGPROP;15X98
A033;;DGCAT;06M08
A033;;MDC;6
A033;;DGPROP;06X99
A033;;DGPROP;15X98
A038;;DGCAT;06M08
A038;;MDC;6
A038;;DGPROP;06X99
A038;;DGPROP;15X98
A039;;DGCAT;06M08
A039;;MDC;6
A039;;DGPROP;06X99
A039;;DGPROP;15X98
A040;;COMPL;06C26
A040;;DGCAT;06M08
A040;;MDC;6
