ORD;DRG;RTC;ICD;MDC;PDGPROP;OR;PROCPRO1;DGCAT1;AGELIM;COMPL;SEX;DGPROP1;DGPROP2;DGPROP3;DGPROP4;SECPROC1;DISCH;DUR;LOC_DRG
000D00000;Z70O;0;-;;;;99V35;;;;;;;;;;N;<1;470O
000D00001;Z70N;1;-;;;;;;;;;;;;;;;>0;470X
000D000020;Z74O;B;+;;;;00S99;;;;;-00X99;;;;;;<1;470P
000D000021;Z74N;B;+;;;;00S99;;;;;-00X99;;;;;;;470A
000D000030;Z70N;B;-;;;;;;;;;;;;;;E;;470X
000D0010;Z76O;5;+;;00P02;;;;>6574;;;;;;;;;<1;470Q
000D0011;Z76N;5;+;;00P02;;;;>6574;;;;;;;;;;470B
000D0020;Z75O;4;+;;00P01;;;;<5114;;;;;;;;;<1;470R
000D0021;Z75N;4;+;;00P01;;;;<5114;;;;;;;;;;470C
000D0030;Z77O;6;+;;;;;;>45654;;;;;;;;;<1;470S
000D0031;Z77N;6;+;;;;;;>45654;;;;;;;;;;470D
000D0040;Z71O;0;+;;;;;99M00;;;;;;;;;;<1;470U
000D0041;Z71N;0;+;;;;;99M00;;;;;;;;;;;470E
000D700000;Z72O;3;+;14;;;;;;;M;;;;;;;<1;470T
000D700001;Z72N;3;+;14;;;;;;;M;;;;;;;;470F
000D700010;Z73O;2;+;14;;;;;;;-;;;;;;;<1;470V
000D700011;Z73N;2;+;14;;;;;;;-;;;;;;;;470G
000D700020;Z75O;4;+;14;;;;;<4018;;;;;;;;;<1;470R
000D700021;Z75N;4;+;14;;;;;<4018;;;;;;;;;;470C
000D700030;Z76O;5;+;14;;;;;>21915;;;;;;;;;<1;470Q
000D700031;Z76N;5;+;14;;;;;>21915;;;;;;;;;;470B
000D700040;Z72O;3;+;;;;;;;;M;14X03;;;;;;<1;470T
000D700041;Z72N;3;+;;;;;;;;M;14X03;;;;;;;470F
000D700050;Z73O;2;+;;;;;;;;-;14X03;;;;;;<1;470V
000D700051;Z73N;2;+;;;;;;;;-;14X03;;;;;;;470G
000D700060;Z75O;4;+;;;;;;<4018;;;14X03;;;;;;<1;470R
000D700061;Z75N;4;+;;;;;;<4018;;;14X03;;;;;;;470C
000D700080;Z72O;3;+;;;S;14S01;;;;M;;;;;;;<1;470T
000D700081;Z72N;3;+;;;S;14S01;;;;M;;;;;;;;470F
000D700090;Z73O;2;+;;;S;14S01;;;;-;;;;;;;<1;470V
000D700091;Z73N;2;+;;;S;14S01;;;;-;;;;;;;;470G
000D700100;Z75O;4;+;;;S;14S01;;<4018;;;;;;;;;<1;470R
000D700101;Z75N;4;+;;;S;14S01;;<4018;;;;;;;;;;470C
000D700200;Z72O;3;+;13;;;;;;;M;;;;;;;<1;470T
000D700201;Z72N;3;+;13;;;;;;;M;;;;;;;;470F
000D700210;Z73O;2;+;13;;;;;;;-;;;;;;;<1;470V
000D700211;Z73N;2;+;13;;;;;;;-;;;;;;;;470G
000D700220;Z75O;4;+;13;;;;;<4018;;;14X01;;;;;;<1;470R
000D700221;Z75N;4;+;13;;;;;<4018;;;14X01;;;;;;;470C
012D0000;Z72O;3;+;12;;;;;;;F;;;;;;;<1;470T
012D0001;Z72N;3;+;12;;;;;;;F;;;;;;;;470F
012D0010;Z73O;2;+;12;;;;;;;-;;;;;;;<1;470V
012D0011;Z73N;2;+;12;;;;;;;-;;;;;;;;470G
014D70300;Z79O;8;+;14;;;;;;;F;14X04;14X01;;;;;<1;470W
014D70301;Z79N;8;+;14;;;;;;;F;14X04;14X01;;;;;;470I
014D70310;Z79O;8;+;14;;;;;;;F;14X05;14X01;;;;;<1;470W
014D70311;Z79N;8;+;14;;;;;;;F;14X05;14X01;;;;;;470I
014D70320;Z79O;8;+;13;;;;;;;F;14X04;14X01;;;;;<1;470W
014D70321;Z79N;8;+;13;;;;;;;F;14X04;14X01;;;;;;470I
014D70330;Z79O;8;+;13;;;;;;;F;14X05;14X01;;;;;<1;470W
014D70331;Z79N;8;+;13;;;;;;;F;14X05;14X01;;;;;;470I
014D7090;Z71O;8;+;;23P01;S;;;;;;;;;;;;<1;470U
014D7091;Z71N;8;+;;23P01;S;;;;;;;;;;;;;470E
015D800000;Z76O;5;+;15;;;;;>365;;;;;;;;;<1;470Q
015D800001;Z76N;5;+;15;;;;;>365;;;;;;;;;;470B
015D800010;Z71O;8;+;;;;;15M01;;;;;;;;;;<1;470U
015D800011;Z71N;8;+;;;;;15M01;;;;;;;;;;;470E
015D800020;Z78O;9;+;;;;15S02;15M02;;;;;;;;;;<1;470Y
015D800021;Z78N;9;+;;;;15S02;15M02;;;;;;;;;;;470H
015D800030;Z79O;9;+;;;;;15M02;;;;15X40;;;;;;<1;470W
015D800031;Z79N;9;+;;;;;15M02;;;;15X40;;;;;;;470I
015D80101;Q10N;0;+;15;;N;;;>28;;;;;;;;;>0;385B
015D80111;Q10N;0;+;15;;N;;;>7;;;;;;;-15S02;;>0;385B
015D8031;Q05N;0;+;;;;;;<8;;;;;;;;E;<3;385A
015D8032;Q05N;0;+;;;;15S02;;<29;;;;;;;;E;<3;385A
015D8033;Q60N;0;+;;;N;;15M02;<8;;;;;;;;R;<6;391X
015D8034;Q05N;0;+;;;;;;<8;;;;;;;-15S01;R;<6;385A
015D8100;Q15N;0;+;;;;;;<8;;;15X23;;;;;;>0;386N
015D8101;Q15N;0;+;;;;15S02;;<29;;;15X23;;;;;;>0;386N
015D8110;Q20N;0;+;;;;;;<8;;;15X24;;;;;;>0;387N
015D8111;Q20N;0;+;;;;15S02;;<29;;;15X24;;;;;;>0;387N
015D8121;Q35N;0;+;;;;;;<8;;;15X25;15X40;;;-15S01;;>0;388C
015D8123;Q35N;0;+;;;;15S02;;<29;;;15X25;15X40;;;-15S01;;>0;388C
015D81600;Q25N;0;+;;;;;;<8;;;15X25;15X31;15X32;;;;>0;388A
015D81601;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;15X32;;;;>0;388A
015D81602;Q25N;0;+;;;;;;<8;;;15X25;15X31;15X33;;;;>0;388A
015D81603;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;15X33;;;;>0;388A
015D81604;Q25N;0;+;;;;;;<8;;;15X25;15X31;15X34;;;;>0;388A
015D81605;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;15X34;;;;>0;388A
015D81606;Q25N;0;+;;;;;;<8;;;15X25;15X31;15X35;;;;>0;388A
015D81607;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;15X35;;;;>0;388A
015D81608;Q25N;0;+;;;;;;<8;;;15X25;15X31;15X36;;;;>0;388A
015D81609;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;15X36;;;;>0;388A
015D81610;Q25N;0;+;;;;;;<8;;;15X25;15X31;15X37;;;;>0;388A
015D81611;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;15X37;;;;>0;388A
015D81612;Q25N;0;+;;;;;;<8;;;15X25;15X31;03X04;;;;>0;388A
015D81613;Q25N;0;+;;;;15S02;;<29;;;15X25;15X31;03X04;;;;>0;388A
015D81614;Q25N;0;+;;;;;;<8;;;15X25;15X32;15X33;;;;>0;388A
015D81615;Q25N;0;+;;;;15S02;;<29;;;15X25;15X32;15X33;;;;>0;388A
015D81616;Q25N;0;+;;;;;;<8;;;15X25;15X32;15X34;;;;>0;388A
015D81617;Q25N;0;+;;;;15S02;;<29;;;15X25;15X32;15X34;;;;>0;388A
015D81618;Q25N;0;+;;;;;;<8;;;15X25;15X32;15X35;;;;>0;388A
015D81619;Q25N;0;+;;;;15S02;;<29;;;15X25;15X32;15X35;;;;>0;388A
015D81620;Q25N;0;+;;;;;;<8;;;15X25;15X32;15X36;;;;>0;388A
015D81621;Q25N;0;+;;;;15S02;;<29;;;15X25;15X32;15X36;;;;>0;388A
015D81622;Q25N;0;+;;;;;;<8;;;15X25;15X32;15X37;;;;>0;388A
015D81623;Q25N;0;+;;;;15S02;;<29;;;15X25;15X32;15X37;;;;>0;388A
015D81624;Q25N;0;+;;;;;;<8;;;15X25;15X32;03X04;;;;>0;388A
015D81625;Q25N;0;+;;;;15S02;;<29;;;15X25;15X32;03X04;;;;>0;388A
015D81626;Q25N;0;+;;;;;;<8;;;15X25;15X33;15X34;;;;>0;388A
015D81627;Q25N;0;+;;;;15S02;;<29;;;15X25;15X33;15X34;;;;>0;388A
015D81628;Q25N;0;+;;;;;;<8;;;15X25;15X33;15X35;;;;>0;388A
015D81629;Q25N;0;+;;;;15S02;;<29;;;15X25;15X33;15X35;;;;>0;388A
015D81630;Q25N;0;+;;;;;;<8;;;15X25;15X33;15X36;;;;>0;388A
015D81631;Q25N;0;+;;;;15S02;;<29;;;15X25;15X33;15X36;;;;>0;388A
015D81632;Q25N;0;+;;;;;;<8;;;15X25;15X33;15X37;;;;>0;388A
015D81633;Q25N;0;+;;;;15S02;;<29;;;15X25;15X33;15X37;;;;>0;388A
015D81634;Q25N;0;+;;;;;;<8;;;15X25;15X33;03X04;;;;>0;388A
015D81635;Q25N;0;+;;;;15S02;;<29;;;15X25;15X33;03X04;;;;>0;388A
015D81636;Q25N;0;+;;;;;;<8;;;15X25;15X34;15X35;;;;>0;388A
015D81637;Q25N;0;+;;;;15S02;;<29;;;15X25;15X34;15X35;;;;>0;388A
015D81638;Q25N;0;+;;;;;;<8;;;15X25;15X34;15X36;;;;>0;388A
015D81639;Q25N;0;+;;;;15S02;;<29;;;15X25;15X34;15X36;;;;>0;388A
