COMPL;CODE;D_CODE
01C01;A598;
01C01;A599;
01C01;B374;
01C01;E104;
01C01;E104A;
01C01;E104B;
01C01;E104C;
01C01;E104D;
01C01;E104E;
01C01;E104W;
01C01;E104X;
01C01;E114;
01C01;E114B;
01C01;E114C;
01C01;E114D;
01C01;E114E;
01C01;E114W;
01C01;E114X;
01C01;E124;
01C01;E134;
01C01;E144;
01C01;G800;
01C01;G801;
01C01;G801A;
01C01;G801B;
01C01;G801C;
01C01;G801X;
01C01;G802;
01C01;G803;
01C01;G803A;
01C01;G803B;
01C01;G803X;
01C01;G804;
01C01;G804A;
01C01;G804W;
01C01;G808;
01C01;G808A;
01C01;G808B;
01C01;G808C;
01C01;G808W;
01C01;G809;
01C01;G810;
01C01;G811;
01C01;G819;
01C01;G820;
01C01;G821;
01C01;G822;
01C01;G823;
01C01;G824;
01C01;G825;
01C01;G830;
01C01;G831;
01C01;G832;
01C01;G833;
01C01;G834;
01C01;G838;
01C01;G839;
01C01;G934;
01C01;G935;
01C01;G936;
01C01;G937;
01C01;G938;
01C01;G939;
01C01;G979;
01C01;G98;
01C01;G989;
01C01;N450;
01C01;N459;
01C01;Q060;
01C01;Q061;
01C01;Q062;
01C01;Q063;
01C01;Q064;
01C01;Q068;
01C01;Q069;
01C01;Q070;
01C01;Q078;
01C01;Q079;
01C02;S027;
01C02;S0270;
01C02;S0271;
01C02;S028;
01C02;S0280;
01C02;S0281;
01C02;S029;
01C02;S0290;
01C02;S0291;
01C02;S088;
01C02;S089;
01C02;S097;
01C02;S098;
01C02;S099;
01C02;S120;
01C02;S1200;
01C02;S1201;
01C02;S121;
01C02;S1210;
01C02;S1211;
01C02;S122;
01C02;S1220;
01C02;S1221;
01C02;S127;
01C02;S1270;
01C02;S1271;
01C02;S128;
01C02;S1280;
01C02;S1281;
01C02;S129;
01C02;S1290;
01C02;S1291;
01C02;S131;
01C02;S132;
01C02;S140;
01C02;S141;
01C02;S170;
01C02;S178;
01C02;S179;
01C02;T020;
01C02;T0200;
01C02;T0201;
01C02;T021;
01C02;T0210;
01C02;T0211;
01C02;T029;
01C02;T0290;
01C02;T0291;
01C02;T040;
01C02;T048;
01C02;T049;
01C02;T060;
01C02;T08;
01C02;T089;
01C02;T0890;
01C02;T0891;
01C02;T093;
01C02;T098;
01C02;T099;
01C02;T142;
01C02;T1420;
01C02;T1421;
01C02;T798;
01C02;T799;
01C02;T911;
01C02;T913;
01C03;S027;
01C03;S0270;
01C03;S0271;
01C03;S028;
01C03;S0280;
01C03;S0281;
01C03;S029;
01C03;S0290;
01C03;S0291;
01C03;S220;
01C03;S2200;
01C03;S2201;
01C03;S221;
01C03;S2210;
01C03;S2211;
01C03;S231;
01C03;S240;
01C03;S241;
01C03;T021;
01C03;T0210;
01C03;T0211;
01C03;T041;
01C03;T047;
01C03;T048;
01C03;T049;
01C03;T08;
01C03;T089;
01C03;T0890;
01C03;T0891;
01C03;T093;
01C03;T098;
01C03;T099;
01C03;T142;
01C03;T1420;
01C03;T1421;
01C03;T143;
01C03;T798;
01C03;T799;
01C03;T911;
01C03;T913;
01C04;S027;
01C04;S0270;
01C04;S0271;
01C04;S028;
01C04;S0280;
01C04;S0281;
01C04;S029;
01C04;S0290;
01C04;S0291;
01C04;S320;
01C04;S3200;
01C04;S3201;
01C04;S327;
01C04;S3270;
01C04;S3271;
01C04;S328;
01C04;S3280;
01C04;S3281;
01C04;S331;
01C04;S340;
01C04;S341;
01C04;S397;
01C04;S398;
01C04;S399;
01C04;T021;
01C04;T0210;
01C04;T0211;
01C04;T027;
01C04;T0270;
01C04;T0271;
01C04;T029;
01C04;T0290;
01C04;T0291;
01C04;T047;
01C04;T048;
01C04;T049;
01C04;T08;
01C04;T089;
01C04;T0890;
01C04;T0891;
01C04;T093;
01C04;T098;
01C04;T099;
01C04;T142;
01C04;T1420;
01C04;T1421;
01C04;T143;
01C04;T798;
01C04;T799;
01C04;T911;
01C04;T913;
01C05;S027;
01C05;S0270;
01C05;S0271;
01C05;S028;
01C05;S0280;
01C05;S0281;
01C05;S029;
01C05;S0290;
01C05;S0291;
01C05;S321;
01C05;S3210;
01C05;S3211;
01C05;S322;
01C05;S3220;
