CODE;VARTYPE;VARVAL
A01AA;DGPROP;00X99
A01AB;DGPROP;00X99
A01AC;DGPROP;00X99
A01AD;DGPROP;00X99
A02AA;DGPROP;00X99
A02AB;DGPROP;00X99
A02AC;DGPROP;00X99
A02AD;DGPROP;00X99
A02AF;DGPROP;00X99
A02AG;DGPROP;00X99
A02AH;DGPROP;00X99
A02AX;DGPROP;00X99
A02BA;DGPROP;00X99
A02BB;DGPROP;00X99
A02BC;DGPROP;00X99
A02BD;DGPROP;00X99
A02BX;DGPROP;00X99
A03AA;DGPROP;00X99
A03AB;DGPROP;00X99
A03AC;DGPROP;00X99
A03AD;DGPROP;00X99
A03AE;DGPROP;00X99
A03AX;DGPROP;00X99
A03BA;DGPROP;00X99
A03BB;DGPROP;00X99
A03CA;DGPROP;00X99
A03CB;DGPROP;00X99
A03CC;DGPROP;00X99
A03DA;DGPROP;00X99
A03DB;DGPROP;00X99
A03DC;DGPROP;00X99
A03EA;DGPROP;00X99
A03ED;DGPROP;00X99
A03FA;DGPROP;00X99
A04AA;DGPROP;00X99
A04AD;DGPROP;00X99
A05AA;DGPROP;00X99
A05AB;DGPROP;00X99
A05AX;DGPROP;00X99
A05BA;DGPROP;00X99
A06AA;DGPROP;00X99
A06AB;DGPROP;00X99
A06AC;DGPROP;00X99
A06AD;DGPROP;00X99
A06AG;DGPROP;00X99
A06AX;DGPROP;00X99
A07AA;DGPROP;00X99
A07AB;DGPROP;00X99
A07AC;DGPROP;00X99
A07AX;DGPROP;00X99
A07BA;DGPROP;00X99
A07BB;DGPROP;00X99
A07BC;DGPROP;00X99
A07CA;DGPROP;00X99
A07DA;DGPROP;00X99
A07EA;DGPROP;00X99
A07EB;DGPROP;00X99
A07EC;DGPROP;00X99
A07FA;DGPROP;00X99
A07XA;DGPROP;00X99
A08AA;DGPROP;00X99
A08AB;DGPROP;00X99
A09AA;DGPROP;00X99
A09AB;DGPROP;00X99
A09AC;DGPROP;00X99
A10AB;DGPROP;00X99
A10AC;DGPROP;00X99
A10AD;DGPROP;00X99
A10AE;DGPROP;00X99
A10BA;DGPROP;00X99
A10BB;DGPROP;00X99
A10BC;DGPROP;00X99
A10BD;DGPROP;00X99
A10BF;DGPROP;00X99
A10BG;DGPROP;00X99
A10BX;DGPROP;00X99
A10XA;DGPROP;00X99
A11AA;DGPROP;00X99
A11AB;DGPROP;00X99
A11BA;DGPROP;00X99
A11CA;DGPROP;00X99
A11CB;DGPROP;00X99
A11CC;DGPROP;00X99
A11DA;DGPROP;00X99
A11DB;DGPROP;00X99
A11EA;DGPROP;00X99
A11EB;DGPROP;00X99
A11EC;DGPROP;00X99
A11ED;DGPROP;00X99
A11EX;DGPROP;00X99
A11GA;DGPROP;00X99
A11GB;DGPROP;00X99
A11HA;DGPROP;00X99
A11JA;DGPROP;00X99
A11JB;DGPROP;00X99
A11JC;DGPROP;00X99
A12AA;DGPROP;00X99
A12AX;DGPROP;00X99
A12BA;DGPROP;00X99
A12CA;DGPROP;00X99
A12CB;DGPROP;00X99
A12CC;DGPROP;00X99
A12CD;DGPROP;00X99
A12CE;DGPROP;00X99
A12CX;DGPROP;00X99
A14AA;DGPROP;00X99
A14AB;DGPROP;00X99
A16AA;DGPROP;00X99
A16AB;DGPROP;00X99
A16AX;DGPROP;00X99
AA001;PROCPR;40V52
AA001;DGPROP;00X99
AA002;PROCPR;40V53
AA002;DGPROP;00X99
AA003;PROCPR;01V06
AA003;DGPROP;00X99
AA004;OR;2
AA004;DGPROP;00X99
AA005;OR;2
AA005;DGPROP;00X99
AA006;OR;2
AA006;DGPROP;00X99
AA007;OR;2
AA007;DGPROP;00X99
AA008;OR;2
AA008;DGPROP;00X99
AA009;OR;2
AA009;DGPROP;00X99
AA010;OR;2
AA010;DGPROP;00X99
AA011;OR;2
