"";"";"";"";F;2012/06/29;""
"001A";"01";"Intracranial surgery for central nervous system tumor";"Intracranial surgery for central nervous system tumor";T;2012/02/01;"001A"
"001AM";"01";"Intracranial surgery for central nervous system tumor with MCC";"Intracranial surgery for central nervous system tumor with M";F;2010/02/24;"  1AM"
"001AN";"01";"Intracranial surgery for central nervous system tumor";"Intracranial surgery for central nervous system tumor";F;2010/02/24;"  1AN"
"001B";"01";"Other intracranial vascular surgery";"Other intracranial vascular surgery";T;2006/04/27;"  1B"
"001BM";"01";"Other intracranial vascular surgery with MCC";"Other intracranial vascular surgery with MCC";F;2010/02/24;"  1BM"
"001BN";"01";"Other intracranial vascular surgery";"Other intracranial vascular surgery";F;2006/04/27;"  1BN"
"001C";"01";"Intervention of intracranial vascular abnormality or infarction";"Intervention of intracranial vascular abnormality or infarc";T;2014/04/09;"  1C"
"001CM";"01";"Surgery of intracranial aneurysm, vascular anomaly or hemangioma with MCC";"Surgery of intracranial aneurysm, vascular anomaly or hemang";F;2010/02/24;"  1CM"
"001CN";"01";"Surgery of intracranial aneurysm, vascular anomaly or hemangioma";"Surgery of intracranial aneurysm, vascular anomaly or hemang";F;2010/02/24;"  1CN"
"001D";"01";"Intracranial cerebrospinal fluid shunt surgery";"Intracranial cerebrospinal fluid shunt surgery";T;2006/04/27;"  1D"
"001DM";"01";"Intracranial cerebrospinal fluid shunt surgery wiht MCC";"Intracranial cerebrospinal fluid shunt surgery wiht MCC";F;2010/02/24;"  1DM"
"001DN";"01";"Intracranial cerebrospinal fluid shunt surgery";"Intracranial cerebrospinal fluid shunt surgery";F;2006/04/27;"  1DN"
"001E";"01";"Other craniotomy except for trauma";"Other craniotomy except for trauma";T;2006/04/27;"  1E"
"001EM";"01";"Other craniotomy except for trauma with MCC";"Other craniotomy except for trauma with MCC";F;2010/02/24;"  1EM"
"001EN";"01";"Other craniotomy except for trauma";"Other craniotomy except for trauma";F;2010/02/24;"  1EN"
"002A";"01";"Other craniotomy for trauma";"Other craniotomy for trauma";T;2006/09/11;"  2A"
"002AC";"01";"Other craniotomy for trauma with CC";"Other craniotomy for trauma with CC";F;2010/02/24;"  2AC"
"002AM";"01";"Other craniotomy for trauma with MCC";"Other craniotomy for trauma with MCC";F;2010/02/24;"  2AM"
"002AN";"01";"Other craniotomy for trauma";"Other craniotomy for trauma";F;2010/02/24;"  2AN"
