"";"No procedure property";F;" ";T;F;"";2013/06/05;"Ei toimenpideoiminaisuutta";T
"00S01";"Liver transplant";T;"0";T;F;"";1996/12/31;"Maksan siirto";T
"00S02";"Bone marrow transplant";F;"0";T;F;"";1996/12/31;"Luuytimen siirto";F
"00S03";"Tracheostomy";T;"0";T;F;"";1996/12/31;"Trakeostomia";T
"00S04";"Lung transplant";T;"0";T;F;"";1996/12/31;"Keuhkonsiirto";T
"00S05";"Major face, mouth & neck procedure";T;"0";T;F;"";1996/12/31;"Laaja kasvojen, suun tai kaulan toimenpide";T
"00S06";"Pancreas transplantation";T;"0";T;F;"";2006/04/25;"";T
"00S07";"Cardiac transplantation";T;"0";T;F;"";/  /;"";T
"00S10";"General anesthesia";F;"0";T;F;"";/  /;"General anesthesia";T
"00S20";"Intensive circulatory support";T;"1";T;F;"";2013/06/07;"";T
"00S21";" Use of IABP";T;"1";T;F;"";2014/04/10;"";T
"00S30";"Free microvascular graft";T;"1";T;F;"";2014/04/16;"";T
"00S99";"Unspecified or impossible procedure";T;"0";T;F;"";2007/04/22;"";F
"01D01";"Diagnostic procedure of head, neck and central nervous system in MDC 01";F;"0";T;F;"";2004/08/10;"";F
"01D02";"Demanding diagnostic proc of head, neck and central nervous system in MDC 01";F;"0";T;F;"";2005/01/17;"";F
"01D21";"Diagn proc of heart, large vessels and other intrathoracal organs in MDC 01";F;"0";T;F;"";2005/01/17;"";T
"01D22";"Demanding diagn proc of heart, large vessels and other intrathoracic organs in MDC 01";F;"0";T;F;"";2005/01/17;"";F
"01O01";"CNS cathetrisation";F;"0";T;F;"";/  /;"";T
"01O02";"Anesthesia for pain";F;"0";T;F;"";/  /;"";F
"01O03";"Diagnostic test for CNS problems";F;"0";T;F;"";/  /;"";F
"01O04";"CNS local medication";F;"0";T;F;"";/  /;"";F
"01O05";"Lumbal puncture";F;"0";T;F;"";/  /;"";F
"01O06";"Electroencephalogram";F;"0";T;F;"";/  /;"";T
"01O07";"ENMG and ENG";F;"0";T;F;"";/  /;"";T
"01O08";"Adjustment of inoperated stimulator or shunt";F;"0";T;F;"";/  /;"";F
"01O10";"Neurological minor diagnostic interventions";F;"0";T;F;"";/  /;"";T
"01O11";"Neuropsychological diagnostic interventions";F;"0";T;F;"";/  /;"";T
"01O12";"Botuinum toxin therapy";F;"0";T;F;"01";/  /;"";F
"01O13";"Treatemnt with baclofen";F;"0";T;F;"";2009/07/06;"";T
"01S01";"Craniotomy or intracranial procedure";T;"1";T;F;"01";1996/12/31;"Kraniotomia tai kallonsis‰inen toimenpide";T
"01S02";"Spinal procedure";T;"1";T;F;"";1996/12/31;"Selk‰ytimen leikkaus";T
"01S03";"Extracranial vascular procedure";T;"0";T;F;"";1996/12/31;"Kallonulkoinen p‰‰n verisuonten leikkaus";T
"01S04";"Median nerve operation";T;"0";T;F;"";1996/12/31;"N. medianus leikkaus";T
"01S05";"Peripheral or cranial nerve or other nervous system procedure";T;"0";T;T;"";1996/12/31;"Hermon leikkaus tai muu neurologisen sairauden leikkaus";F
"01S20";"Plastic procedure of pharynx";F;"0";T;F;"";1996/12/31;"Nielunalueen plastinen leikkaus";T
"01S21";"Procedures of sympathic nervous system";T;"1";T;F;"";2014/04/23;"Sympaattisen hermoston toimenpide";T
"01S22";"Operation for intracranial tumor";F;"0";T;F;"";/  /;"Kallon sis‰isen kasvaimen leikkaus";T
"01S23";"Intracranial vascular operation";F;"0";T;F;"";2000/10/03;"Kallonsis‰inen verisuonitoimenpide";T
"01S24";"Intracranial liquor operation";F;"0";T;F;"";/  /;"Kallonsis‰inen toimenpide selk‰ydinnesteen ohjaamiseksi";T
"01S25";"Removal of chronic subdural hematoma";F;"0";T;F;"01";2000/11/22;"Kroonisen subduraalihematooman poisto";T
"01S26";"Excision and destruction of intracranial lesion";T;"1";T;F;"01";/  /;"Aivokasvaimen tai aivomuutoksen poisto";T
"01S27";"Operations for intracranial aneurysm and other vascular lesions";T;"1";T;F;"01";/  /;"Aivovaltimopullistumien leikkaukset ja muut aivoverisuonileikkaukset";T
"01S28";"Shunt operations on ventricles of brain and  intracerebral cysts";T;"1";T;F;"01";2003/09/05;"Aivonestekierron s‰‰telytoimenpiteet";T
"01S29";"Evacuation of chronic subdural haematoma";T;"1";T;F;"01";/  /;"Verihyytym‰n poisto kovan aivokalvon alta, krooninen subduraali";T
"01S30";"Intracranial endovascular trombolysis";T;"1";T;F;"01";2014/04/09;"";T
"01S50";"Stereotactic intracranial radiotherapy";F;"0";T;F;"01";/  /;"Stereotactic intracranial radiotherapy";T
"01S51";"Insertion or replacement of nervous system central stimulation device";T;"0";T;F;"";2011/02/08;"";T
"01T01";"Special medication in neurology";F;"0";T;F;"";2006/01/17;"";F
"01T02";"Demanding medication in neurology";F;"0";T;F;"";2007/11/14;"";F
"01T03";"Special demanding medication in neurology";F;"0";T;F;"";2006/01/17;"";F
"01V01";"CNS catheter procedure";F;"0";T;F;"";/  /;"";F
"01V02";"Blockade of nerv";F;"0";T;F;"";/  /;"";F
"01V03";"CNS diagnostic test";F;"0";T;F;"";/  /;"";T
"01V04";"Direct CNS medication";F;"0";T;F;"";2013/04/29;"";F
"01V05";"Lumbal puncture";F;"0";T;F;"";/  /;"";F
"01V06";"EEG";F;"0";T;F;"";/  /;"";F
"01V07";"EMG or ENG";F;"0";T;F;"";/  /;"";F
"01V08";"Adjustment of implanted CNS stimulator or shunt";F;"0";T;F;"";/  /;"";F
"01V09";"Blockade of nerve, demanding";F;"0";T;F;"01";2009/10/07;"";T
"02D01";"Diagnostic procedure of head, neck and central nervous system in MDC 02";F;"0";T;F;"";2004/08/10;"";F
"02D02";"Demanding diagn proc of head, neck and central nervous system in MDC 02";F;"0";T;F;"";2005/01/17;"";F
"02O01";"Major diagnostic intervention of eye";F;"0";T;F;"";2005/10/06;"";F
"02O02";"Biopsy or other minor diagnostic procedure for eye problem";F;"0";T;F;"";2007/11/13;"";F
"02O03";"Minor outpatient eye procedure";F;"0";T;F;"";/  /;"";F
"02O04";"Minor diagnostic intervention of eye";F;"0";T;F;"";/  /;"";T
"02O05";"Medication to eye";F;"0";T;F;"";/  /;"";F
"02O06";"Specific drug treatment for eye disorders";F;"0";T;F;"02";2009/07/06;"";T
"02S01";"Procedure of the orbit";T;"0";T;F;"";1996/12/31;"Silm‰kuopan leikkaus";F
"02S02";"Procedure of the retina";T;"0";T;F;"";1996/12/31;"Verkkokalvon toimenpide";F
"02S03";"Extraocular procedure but not procedure of the orbit";T;"0";T;F;"";1996/12/31;"Silm‰nulkoinen leikkaus, ei silm‰munan leikkaus";F
"02S04";"Intraocular procedure but not procedure of retina, iris or lens";T;"0";T;F;"";1996/12/31;"Silm‰nsis‰inen toimenpide, ei verkkokalvon, v‰rikalvon tai mykiˆn toimenpide";F
"02S05";"Procedure of the lens";T;"0";T;F;"";1996/12/31;"Mykiˆn toimenpide";F
"02S06";"Procedure of the iris";T;"0";T;F;"";1996/12/31;"Ensisijaisesti v‰rikalvoon kohdistuva toimenpide";F
"02S07";"Procedure on vitreous";T;"0";T;F;"";1996/12/31;"Lasiaistoimenpide";T
"02S20";"Local radiotherapy of the eye";F;"0";T;F;"";2001/08/02;"Silm‰n paikallinen s‰dehoito";T
"02S21";"Extensive procedure of retina";T;"0";T;F;"02";2003/10/11;"Laaja verkkokalvon toimenpide";T
"02S22";"Brachytherapy of eye";T;"0";T;F;"02";2007/04/17;"Suonikalvon ja verkkokalvon s‰teilylevyn asennus";T
"02S23";"Local photocoagulation of retina";F;"0";T;F;"02";2007/04/17;"Verkkokalvon paikallinen fotokokagulaatio";T
"02S24";"Major eye surgery";T;"0";T;F;"02";2007/04/17;"Major eye surgery";T
"02T01";"Special medication in ophtalmology";F;"0";T;F;"";/  /;"";T
"02T02";"Demanding medication in ophtalmology";F;"0";T;F;"";2008/01/15;"";T
"02V01";"Major diagnostic ophtalmologic test";F;"0";T;F;"";/  /;"";F
"02V02";"Medication to eye";F;"0";T;F;"";2013/04/29;"";F
"02V03";"Eye biopsy";F;"0";T;F;"";/  /;"";F
"02V04";"Therapeutic eye procedure";F;"0";T;F;"";/  /;"";F
"02V05";"Other diagnostic ophtalmologic test";F;"0";T;F;"";/  /;"";F
"02V06";"Eye photography";F;"0";T;F;"";/  /;"";F
"02V07";"Photodynamic therapy of eye";F;"0";T;F;"";/  /;"";T
"03D01";"Diagnostic procedure of head, neck and central nervous system in MDC 03";F;"0";T;F;"";2004/08/10;"";F
"03D02";"Demanding diagn proc of head, neck and central nervous system in MDC 03";F;"0";T;F;"";2005/01/17;"";F
"03D11";"Extensive mouth radiology";F;"0";T;F;"";2012/06/05;"";F
"03E01";"Diagnostic endoscopy of upper respiratory tract for ENMT problems";T;"0";T;F;"03";2002/01/21;"";F
"03E02";"Diagnostic tracheo-bronchoscopy for ENMT problems";T;"0";T;F;"03";2002/01/21;"";F
"03E03";"Esophagoscopy with insertion of stent for ENMT problems";T;"0";T;F;"03";2002/01/21;"";F
"03E06";"Therapeutic endoscopy of upper gastrointestinal tract for ENMT problem";T;"0";T;F;"03";2002/01/21;"";F
"03E11";"Endoscopy of oesophagus for ENMT problems";T;"0";T;F;"03";2002/01/21;"";F
"03E20";"Endoscopic procedures of mouth and throat";T;"0";T;F;"";2006/11/23;"";F
"03O01";"Major outpatient procedures for ENM problems";F;"0";T;F;"";/  /;"";F
"03O02";"Diagnostic intervention for sleep apnoe";F;"0";T;F;"";/  /;"";T
"03O03";"Investigation of dysfagia and related oral motor functions";F;"0";T;F;"";/  /;"";T
"03O04";"ENM biopsy";F;"0";T;F;"";/  /;"";F
"03O05";"Other ENM interventions";F;"0";T;F;"";/  /;"";F
"03O06";"Hearing improving interventions";F;"0";T;F;"";/  /;"";F
"03O07";"Demanding autiometry";F;"0";T;F;"";/  /;"";T
"03O08";"Cochlear implant related interventions";F;"0";T;F;"";/  /;"";T
"03O09";"Standard audiometry";F;"0";T;F;"";/  /;"";T
"03O10";"Other tooth procedure";F;"0";T;F;"";2013/10/21;"";F
"03O11";"Complex diagnostic procedures for ENM problems";F;"0";T;F;"";2007/11/11;"";F
"03O12";"Local diagnostic procedures for ENM problems";F;"0";T;F;"";/  /;"";F
"03O13";"Major ENT procedures for children";F;"0";T;F;"";2013/10/14;"";F
"03S01";"Major head or neck procedure";T;"1";T;F;"";1996/12/31;"Laaja p‰‰n tai niskan leikkaus";T
"03S02";"Myringtomy";F;"0";T;F;"";1996/12/31;"T‰rykalvon avaus";F
"03S03";"Tonsillectomy or adenoidectomy";T;"0";T;F;"";1996/12/31;"Nielurisan  tai kitarisan poisto";T
"03S04";"Cleft lip and palate repair";T;"1";T;F;"";1996/12/31;"Huuli-suulakihalkion korjaus";T
"03S05";"Procedure of the mouth";T;"0";T;T;"";1999/08/04;"Suun leikkaus";F
"03S06";"Procedure of paranasal sinus or mastoid";T;"1";T;F;"";1996/12/31;"Nen‰n sivuontelon tai kartiolis‰kkeen leikkaus";T
"03S07";"Rhinoplasty";T;"0";T;F;"";1996/12/31;"Nen‰n plastinen leikkaus";T
"03S08";"Parotidectomy";T;"0";T;F;"03";2008/11/11;"Parotidectomy";T
"03S09";"Salivary gland procedure except paratidectomy";T;"0";T;F;"";2008/04/13;"Salivary gland procedure except paratidectomy";F
"03S10";"Miscellaneous ear, nose, mouth or throat procedure";T;"0";T;F;"";1996/12/31;"Muu erityinen korvan nen‰n, suun tai kurkun leikkaus";T
"03S11";"Special tonsillar and/or adenoid procedure";T;"0";T;F;"";1996/12/31;"Komplisoitunut nielurisan tai kitarisan poisto";F
"03S12";"Other ear, nose, mouth or throat OR procedure";T;"0";T;F;"";1996/12/31;"Muu korva-, nen‰- tai kurkkutauteihin liittyv‰ leikkaus";F
"03S13";"Dental extraction or restoration";T;"0";T;F;"";1996/12/31;"Hampaan poisto tai palauttaminen";F
"03S14";"Procedure associated with cleft lip and palate";T;"0";T;F;"";2003/07/06;"Huuli-suulakihalkioon liittyv‰ toimenpide";T
"03S20";"Complex paranasal och mastoid procedure";F;"0";T;F;"";2008/10/21;"Monimutkainen nen‰n sivuontelon tai kartiolis‰kkeen leikkaus";T
"03S21";"Secondary correction operation for cleft lip";F;"0";T;F;"03";2003/09/09;"Huulihalkion sekundaarinen korjausleikkaus";T
"03S22";"Surgery of mastoid and temporal bone";T;"1";T;F;"03";2005/04/27;"Kartiolis‰kkeen tai ohimoluun leikkaus";T
"03S23";"Simple correction of obstructive apnoe";T;"0";T;F;"";2004/04/15;"";T
"03S24";"Insertion of cochlear implant";T;"1";T;F;"03";2005/04/27;"";T
"03S30";"Consultation and planning of care";F;"0";T;F;"";/  /;"";T
"03S31";"Toothbridge or similar";F;"0";T;F;"";/  /;"";F
"03S32";"Kariologic procedures";F;"0";T;F;"";/  /;"";F
"03S33";"Parodontologic procedures";F;"0";T;F;"";/  /;"";F
"03S34";"Dental implant operations";F;"0";T;F;"";/  /;"";F
"03S35";"Orthodontic procedure";F;"0";T;F;"";/  /;"";F
"03S36";"Correction of physiology of bite";F;"0";T;F;"";/  /;"";F
"03S40";"Extensive mouth and jaw surgery";F;"0";T;F;"";2012/06/05;"";T
"03S41";"Mouth and jaw surgery";F;"0";T;F;"";2012/06/05;"";T
"03S42";"Extensive mouth intervention";F;"0";T;F;"";2012/06/05;"";F
"03S43";"Mouth intervention";F;"0";T;F;"";2012/06/05;"";F
"03S90";"Secondary procedure for ear, nose and moth area";F;"0";T;F;"03";2003/09/09;"Nen‰n, korvan ja suun alueen sekundaarinen toimenpide";T
"03S99";"Minor procedure in ear, nose and throat diseases";T;"0";T;F;"";/  /;"V‰h‰inen korva-, nen‰- ja kurkkutautien leikkaus";F
"03T01";"Special medical therapy for ear, nose, mouth and throat problems";F;"0";T;F;"";/  /;"";F
"03T04";"Specia local medical therapy for ear, nose, mouth and throat problems";F;"0";T;F;"";/  /;"";T
"03V01";"Major ear, nose and mouth procedure";F;"0";T;F;"";/  /;"";F
"03V02";"Sleep apnoe examination";F;"0";T;F;"";/  /;"";T
"03V03";"Examination of mouth and throat motor functions";F;"0";T;F;"";/  /;"";T
"03V04";"Ear, nose and mouth biopsy";F;"0";T;F;"";/  /;"";F
"03V05";"Incision and suture for ear, nose and mouth lesion";F;"0";T;F;"";/  /;"";F
"03V06";"Other ear, nose and mouth procedure";F;"0";T;F;"";/  /;"";F
"03V07";"Hearing improving intervention";F;"0";T;F;"";/  /;"";F
"03V08";"Major audiometry";F;"0";T;F;"";/  /;"";F
"03V09";"Assisting procedure for cochlear implant";F;"0";T;F;"";/  /;"";T
"03V10";"Minor audiometry";F;"0";T;F;"";/  /;"";T
"04D21";"Diagnostic proc of heart, large vessels and other intrathoracic organs in MDC 04";F;"0";T;F;"";2005/01/17;"";F
"04D22";"Demanding diagn proc of heart, large vessels and other intrathoracic organs in MDC 04";F;"0";T;F;"";2005/01/17;"";F
"04E02";"Endoscopy of respiratory tract and organs for respiratory problems";T;"0";T;F;"04";2002/01/21;"Hengitysteiden endoskopia";F
"04E08";"Endoscopy of respiratory tract with ultrasound examination";F;"0";T;F;"04";2002/01/21;"Hengityselinten t‰hystykseen liittyv‰ Uƒ-tutkimus";T
"04E20";"Insertion of stent to respiratory tract";F;"0";T;F;"";/  /;"Hengitystie stentin asennus";F
"04O01";"Major respiratory investigation";F;"0";T;F;"";/  /;"";T
"04O02";"Puncture of throrax";F;"0";T;F;"";/  /;"";F
"04O03";"Other respiratory investigation";F;"0";T;F;"";/  /;"";T
"04O04";"Minor respiratory interventions";F;"0";T;F;"";/  /;"";T
"04O05";"Respiratory support";F;"0";T;F;"";/  /;"";F
"04O11";"Minor thoracic procedure";F;"0";T;F;"";/  /;"";F
"04O12";"Respiratory function measurement";F;"0";T;F;"";/  /;"";T
"04S01";"Major chest procedure";T;"1";T;F;"";1996/12/31;"Laaja rintaontelon leikkaus, ei syd‰nleikkaus";T
"04S02";"Other respiratory system OR procedure";T;"0";T;T;"";1996/12/31;"Suppea hengityselinten toimenpide";F
"04S03";"Mechanical ventilation";T;"0";T;F;"";1996/12/31;"Hengityskonehoito";F
"04S04";"Positive airway pressure therapy";T;"0";T;F;"";/  /;"";F
"04T01";"Special medical therapy of respiratory problem";F;"0";T;F;"";/  /;"";F
"04T03";"Special demanding medical therapy of respiratory problem";F;"0";T;F;"";/  /;"";T
"04T04";"Special demanding subcutaneous therapy for respiratory problem";F;"0";T;F;"";2008/12/01;"";T
"04V01";"Major spirometry";F;"0";T;F;"";/  /;"";T
"04V02";"Thoraxpuncture";F;"0";T;F;"";/  /;"";F
"04V03";"MInor spirometry";F;"0";T;F;"";/  /;"";T
"04V04";"Other pulmonological interventions";F;"0";T;F;"";/  /;"";F
"05D01";"Diagnostic procedure of head, neck and central nervous system in MDC 05";F;"0";T;F;"";2004/08/10;"";T
"05D02";"Demanding diagn proc of head, neck and central nervous system in MDC 05";F;"0";T;F;"";2005/01/17;"";F
"05D11";"Diagnostic procedure of endocrine organs in MDC 05";F;"0";T;F;"";2004/08/10;"";T
"05D21";"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 05";F;"0";T;F;"";2005/01/17;"";F
"05D22";"Demanding diagn proc of heart, large vessels and other intrathoracic organs in MDC 05";F;"0";T;F;"";2005/01/17;"";F
"05D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 05";F;"0";T;F;"";2005/01/17;"";F
"05D61";"Diagnostic procedure of periferal vascular system in MDC 05";F;"0";T;F;"";2004/08/10;"";F
"05D62";"Demanding diagnostic procedure of periferal vascular system in MDC 05";F;"0";T;F;"";2004/08/10;"";F
"05D64";"Diagnostic procedure of lymfatic system in MDC 05";F;"0";T;F;"";2004/08/10;"";F
"05O01";"Invasive examination of circuralotry system";F;"0";T;F;"";/  /;"";F
"05O02";"Cardioversion";F;"0";T;F;"";/  /;"";F
"05O03";"Percutaneous embolisation of artery";F;"0";T;F;"";/  /;"";T
"05O04";"Transoesphageal cardiac stimulation";F;"0";T;F;"";/  /;"";T
"05O05";"Cardiac monitoring";F;"0";T;F;"";/  /;"";T
"05O06";"Sclerotherapy of varicose veins";F;"0";T;F;"";/  /;"";F
"05O07";"Cardiac work load test";F;"0";T;F;"";/  /;"";T
"05O08";"Cardiac ultrasonography";F;"0";T;F;"";/  /;"";F
"05O09";"Circulatory physiology, short therapy";F;"0";T;F;"";/  /;"";T
"05O10";"Special ECG";F;"0";T;F;"";2005/10/07;"";T
"05O11";"Vessel biopsy";F;"0";T;F;"";/  /;"";F
"05O21";"Peripheral circulation diagnostic test";F;"0";T;F;"";/  /;"";F
"05O22";"Physiological cardiac diagnostic test";F;"0";T;F;"";/  /;"";F
"05O23";"Oedema therapy";F;"0";T;F;"";/  /;"";F
"05S01";"Cardiac transplantation support procedures";T;"1";T;F;"";2007/04/17;"";T
"05S02";"Cardiac valve procedure";T;"1";T;F;"";1996/12/31;"Syd‰nl‰p‰n korjausleikkaus";F
"05S03";"Implantation or replacement of cardiodefibrillator";F;"0";T;F;"";2002/09/12;"Syd‰men defibrillaattorin ja kaapeleiden asennus tai vaihto";T
"05S04";"Implantation or replacement of cardiodefibrillator generator";F;"0";T;F;"";1996/12/31;"Syd‰men defibrillaattorilaitteen asennus tai vaihto";T
"05S05";"Cardiac catheterization";T;"0";T;F;"";1996/12/31;"Syd‰men katetrisaatio ilman toimenpiteit‰";F
"05S06";"Procedure of heart atrium and vetricles or coronary arteries";T;"1";T;F;"";1996/12/31;"Syd‰men kammioiden ja eteisten tai koronaarisuonten leikkaus";T
"05S07";"Resection of abdominal aorta with replacement";T;"1";T;F;"";1996/12/31;"Abdominaaliaortan resektio";T
"05S08";"Resection of thoracic vessel with replacement";T;"1";T;F;"";1996/12/31;"Keuhko-ontelon suonen resektio";T
"05S09";"Coronary bypass";T;"1";T;F;"";1996/12/31;"Syd‰men ohitusleikkaus";T
"05S10";"Percutaneous cardiac procedure before coronary bypass";F;"0";T;F;"";1996/12/31;"Katetrisaatiotiet‰ tehty koronaarileikkausta valmisteleva toimenpide";T
"05S11";"Major cardiovascular procedure";T;"1";T;T;"";1996/12/31;"Syd‰men tai verisuonten laaja rekonstruktioleikkaus";T
"05S12";"Amputation of lower limb except toe";T;"0";T;F;"";1996/12/31;"Alaraajan laaja amputaatio";T
"05S13";"Pacemaker revision or  cable implantation or replacement";F;"0";T;F;"";1997/12/07;"Syd‰mentahdistimen tarkastus tai kaapeleiden asennus tai vaihto";F
"05S14";"Pacemaker device implantation or  replacement";F;"0";T;F;"";1996/12/31;"Syd‰mentahdistin laitteen asennus tai vaihto";T
"05S15";"Other vascular procedures";T;"0";T;T;"";1996/12/31;"Muu verisuoniin kohdistuva toimenpide";F
"05S16";"Other percutaneous cardiovascular procedures";T;"0";T;F;"";1996/12/31;"Muu katetritiet‰ suoritettu verisuonitoimenpide";F
"05S17";"Amputation upper limb or toe";T;"0";T;F;"";1996/12/31;"Yl‰raajan tai varpaan amputaatio";T
"05S18";"Vein ligation or stripping";T;"0";T;F;"";1996/12/31;"Suonikohjuleikkaus";T
"05S19";"Other circulatory system OR procedures";T;"0";T;F;"";1996/12/31;"Muu verenkiertoj‰rjestelm‰n leikkaus";F
"05S20";"Percutaneous ablation for cardiac arrhytmias";T;"0";T;F;"05";2005/04/28;"Syd‰men elektroninen stimulointi";T
"05S21";"Assisting procedure in open hearth surgery";T;"0";T;F;"";2007/04/17;"Avosyd‰nkirurgian aputoimenpide";T
"05S22";"Procedure on hearth, aortta or pulmonary artery possibly with extracorporeal circulation";T;"1";T;F;"";1997/10/28;"Syd‰men, aortan tai keuhkovaltimon leikkaus - syd‰npys‰ytyksen k‰yttˆ mahdollista";T
"05S23";"Special procedure in cardiac cathetrisation";F;"0";T;F;"05";/  /;"Syd‰men katetrisaatiossa teht‰v‰ erityistoimenpide";T
"05S24";"Biobsy of hearth vetricle";T;"0";T;F;"";/  /;"Syd‰nkammion koepalanotto";T
"05S25";"Percutaneous dilatation of coronary arteries";T;"0";T;F;"";/  /;"Sepelvaltimoiden katetrilaajennus";F
"05S26";"Coronar artery stent or catheter ablation";F;"0";T;F;"";/  /;"Koronaaristentin asennus tai syd‰men katetriablaatio";T
"05S27";"Mapping for source of cardiac arythmias";F;"0";T;F;"";2000/10/04;"Syd‰men rytmih‰iriˆn l‰hteen kartoitus katetrilla";T
"05S30";"Implantation of permanent cardiac pacemaker";F;"0";T;F;"";2002/12/12;"Pysyv‰n syd‰ntahdistimen asennus";T
"05S31";"Examination of cardiac arrythmia with cathetrisation";F;"0";T;F;"05";2003/09/09;"Syd‰men rytmih‰iriˆn katetritutkimus";T
"05S32";"Percutaneous transluminal coronary angioplasty";F;"0";T;F;"05";2003/09/10;"Sepelvaltimon suonensis‰inen laajennus";F
"05S33";"Coronary angiography";F;"0";T;F;"05";2003/09/10;"Sepelvaltiomoiden varjoainekuvaus";F
"05S34";"Correctional procedures for vascular problems of lower extremitity";F;"0";T;F;"05";2003/09/10;"Verisuoniongelmien korjausleikkaus";T
"05S35";"Aortic prodedures";T;"1";T;F;"05";2005/06/10;"";T
"05S40";"Implantation of cardiac defibrillator";T;"0";T;F;"05";2005/04/28;"";F
"05S41";"Implantation of pacemaker";T;"0";T;F;"05";2005/04/28;"Pysyv‰n syd‰ntahdistimen asentaminen";T
"05S42";"Revision or removal of pacemaker or defibrillator";T;"0";T;F;"05";2005/04/28;"";F
"05S80";"Transcatheter Aortic Valve Implantation";T;"0";T;F;"05";2011/05/15;"Transcatheter Aortic Valve Implantation";T
"05S90";"Secondary cardiac procedure";F;"0";T;F;"05";2003/09/09;"Syd‰men uusintaleikkaus";T
"05T01";"Botulinus for cardiovascular problems";F;"0";T;F;"";2008/11/13;"";T
"05T02";"Special cardiovascular medication";F;"0";T;F;"";/  /;"";T
"05V01";"Invasive examination of circulation";F;"0";T;F;"";/  /;"";T
"05V02";"Cardioversion";F;"0";T;F;"";/  /;"";F
"05V03";"Closure of other minor blood vessels";F;"0";T;F;"";/  /;"";T
"05V04";"Transesophageal cardiac stimulation";F;"0";T;F;"";/  /;"";T
"05V06";"Long term blood pressure and ECG monitoring";F;"0";T;F;"";/  /;"";T
"05V07";"Sclerosing varicose veins";F;"0";T;F;"";2013/04/29;"";T
"05V08";"Cardiac ergometry";F;"0";T;F;"";/  /;"";T
"05V09";"Cardiac ultrasonography";F;"0";T;F;"";/  /;"";F
"05V10";"Examination of circulatory physiology";F;"0";T;F;"";/  /;"";T
